"";"id";"treatment";"treat1";"treat3";"junsep07";"mayoct06";"marapr07";"fairmktvalue";"ageofhome";"acres";"pct_white";"pct_edu";"pct_pov";"pct_rent";"percapincome";"hhsize";"p1_log";"p1_trim";"p3_log";"p3_trim"
"219673";11824;3;0;1;28;49;9;244330;24;0.4378;0.88012957572937;0.870538115501404;0.0251346491277218;0.0509554147720337;40400;2.95000004768372;NA;NA;0.097440779209137;1
"219687";29950;3;0;1;16;26;7;210420;21;0.402666;0.927625775337219;0.775771260261536;0.016571968793869;0.084548108279705;29932;3.29999995231628;NA;NA;0.090524859726429;1
"219704";37332;3;0;1;88;60;20;98680;36;0.556498;0.964912295341492;0.634598433971405;0.0307147074490786;0.0526315793395042;26403;3;NA;NA;0.13886396586895;1
"219709";44907;3;0;1;18;26;8;159500;20;0.45395;0.75938892364502;0.693655073642731;0.0295055825263262;0.0240963846445084;24538;3.15000009536743;NA;NA;0.0948171094059944;1
"219710";47715;3;0;1;20;41;9;266960;20;0.47736;0.941964268684387;0.773801505565643;0.0174966361373663;0.0373831763863564;34156;3.14000010490417;NA;NA;0.0903299450874329;1
"219712";72476;3;0;1;39;78;23;198250;12;0.338923;0.857142865657806;0.701378226280212;0.0351195894181728;0;28775;3.40000009536743;NA;NA;0.0702064782381058;1
"219716";71333;3;0;1;14;32;6;208900;11;0.320396;0.968847334384918;0.817735016345978;0.0128636695444584;0.0113636367022991;32422;3.65000009536743;NA;NA;0.0678281113505363;1
"219718";12704;3;0;1;19;30;11;281030;31;0.554777;0.924181938171387;0.888424813747406;0.0101465610787272;0.0147783253341913;37359;3.08999991416931;NA;NA;0.141417682170868;1
"219723";75152;3;0;1;18;23;20;175000;10;0.286705;0.75938892364502;0.693655073642731;0.0295055825263262;0.0240963846445084;24538;3.15000009536743;NA;NA;0.0682962387800217;1
"219725";67004;3;0;1;16;24;7;164760;13;0.212761;0.925531923770905;0.648532271385193;0.00888324901461601;0.0263157896697521;23806;2.47000002861023;NA;NA;0.0726725831627846;1
"219737";18021;3;0;1;33;26;7;148320;36;0.540967;0.890365421772003;0.780891716480255;0.0279424209147692;0.0769230797886848;28821;2.89000010490417;NA;NA;0.1490378677845;1
"219743";10646;3;0;1;19;43;12;205000;29;0.468586;0.935813963413239;0.831641793251038;0.0153846153989434;0.0485714301466942;35192;3.0699999332428;NA;NA;0.118649736046791;1
"219765";16885;3;0;1;14;22;5;276960;22;0.348403;0.899122834205627;0.8499636054039;0.0226781852543354;0.0125000001862645;33123;2.84999990463257;NA;NA;0.109976842999458;1
"219770";69500;3;0;1;20;31;7;213540;11;0.471386;0.917587101459503;0.777379751205444;0.0360085442662239;0.0403458215296268;29263;3.39000010490417;NA;NA;0.0669011026620865;1
"219789";83156;3;0;1;15;26;8;196540;8;0.160063;0.761235952377319;0.802745461463928;0.0182307232171297;0.0296296291053295;28895;2.64000010490417;NA;NA;0.0638834238052368;1
"219793";17882;3;0;1;29;116;12;255880;31;0.464167;0.961937725543976;0.851817786693573;0.0198309496045113;0.0884955748915672;40984;2.55999994277954;NA;NA;0.113274738192558;1
"219797";88595;3;0;1;13;29;9;147800;7;0.140871;0.745803356170654;0.693655073642731;0.0295055825263262;0.0397351011633873;24538;2.75999999046326;NA;NA;0.0585442893207073;1
"219801";63178;3;0;1;16;41;12;188120;14;0.224642;0.733118951320648;0.680775105953217;0.0333447903394699;0.0285714287310839;24510;2.96000003814697;NA;NA;0.0788285434246063;1
"219809";81287;3;0;1;19;24;11;197110;8;0.415767;0.882394850254059;0.802745461463928;0.0182307232171297;0.0104166669771075;28895;2.92000007629395;NA;NA;0.0632640942931175;1
"219820";14293;3;0;1;20;42;8;278400;23;0.489321;0.922077894210815;0.855911314487457;0.0158963073045015;0.0198019798845053;31669;3.04999995231628;NA;NA;0.11282267421484;1
"219822";60395;3;0;1;28;61;16;361600;16;0.456544;0.958847761154175;0.773801505565643;0.0174966361373663;0.0617283955216408;34156;3;NA;NA;0.0819085240364075;1
"219828";74158;3;0;1;38;43;28;367760;10;0.40347;0.882394850254059;0.802745461463928;0.0182307232171297;0.0104166669771075;28895;2.92000007629395;NA;NA;0.0801868438720703;1
"219829";62937;3;0;1;20;35;13;231290;15;0.360093;0.947368443012238;0.817735016345978;0.0128636695444584;0.00892857182770967;32422;3.55999994277954;NA;NA;0.0807555764913559;1
"219839";59315;3;0;1;19;35;11;219670;17;0.466044;0.95973151922226;0.817735016345978;0.0128636695444584;0.036363635212183;32422;3.60999989509583;NA;NA;0.0817979052662849;1
"219844";85391;3;0;1;26;27;11;164460;6;0.617215;0.944444417953491;0.405178993940353;0.0282279141247272;0.210526317358017;21526;2.83999991416931;NA;NA;0.0373690687119961;1
