"";"id";"treatment";"treat1";"treat3";"junsep07";"mayoct06";"marapr07";"fairmktvalue";"ageofhome";"acres";"pct_white";"pct_edu";"pct_pov";"pct_rent";"percapincome";"hhsize";"p1_log";"p1_trim";"p3_log";"p3_trim"
"219672";47641;3;0;1;24;39;11;538060;27;1.78316;0.881355941295624;0.755598425865173;0.0408454053103924;0.0239726025611162;29392;3.02999997138977;NA;NA;0.141346096992493;1
"219673";11824;3;0;1;28;49;9;244330;24;0.4378;0.88012957572937;0.870538115501404;0.0251346491277218;0.0509554147720337;40400;2.95000004768372;NA;NA;0.097440779209137;1
"219677";20871;3;0;1;18;49;7;264830;49;0.946355;0.979381442070007;0.879587173461914;0.0308189019560814;0.0270270276814699;48696;2.61999988555908;NA;NA;0.203689932823181;1
"219678";83772;3;0;1;8;28;6;138400;8;0.194937;0.712707161903381;0.693655073642731;0.0295055825263262;0.0615384615957737;24538;2.77999997138977;NA;NA;0.0582547597587109;1
"219683";95696;3;0;1;79;129;44;415170;4;0.468876;1;0.777379751205444;0.0360085442662239;0;29263;2.9300000667572;NA;NA;0.0633752942085266;1
"219684";101443;3;0;1;15;30;14;235780;2;0.198849;0.800347208976746;0.775980591773987;0.0321910679340363;0.0718157216906548;24818;3.11999988555908;NA;NA;0.0521334782242775;1
"219685";92768;3;0;1;16;33;5;306820;5;0.476395;0.783941626548767;0.787655711174011;0.0205646567046642;0.0310421288013458;35373;3.03999996185303;NA;NA;0.0543413497507572;1
"219686";47489;3;0;1;30;43;14;462370;20;0.360605;0.918322324752808;0.873977899551392;0.0131200002506375;0.00684931501746178;51134;3.09999990463257;NA;NA;0.0937499850988388;1
"219687";29950;3;0;1;16;26;7;210420;21;0.402666;0.927625775337219;0.775771260261536;0.016571968793869;0.084548108279705;29932;3.29999995231628;NA;NA;0.090524859726429;1
"219689";31846;3;0;1;21;30;14;150480;25;0.628272;0.912087917327881;0.778373539447784;0.00213106023147702;0.129032254219055;22720;2.94000005722046;NA;NA;0.101886108517647;1
"219694";54881;3;0;1;27;53;13;412040;18;0.348342;0.944214880466461;0.855911314487457;0.0158963073045015;0.0177935939282179;31669;3.44000005722046;NA;NA;0.107634089887142;1
"219695";55402;3;0;1;27;94;10;213800;18;0.662653;0.655425190925598;0.718206167221069;0.0733772367238998;0.392086327075958;37000;2.45000004768372;NA;NA;0.0454132072627544;1
"219696";48299;3;0;1;69;89;28;369640;19;0.332813;0.944214880466461;0.855911314487457;0.0158963073045015;0.0177935939282179;31669;3.44000005722046;NA;NA;0.106679543852806;1
"219697";58639;3;0;1;27;122;18;372110;17;0.318588;0.89130437374115;0.917866230010986;0;0.0238095242530107;52233;3.28999996185303;NA;NA;0.0734636262059212;1
"219699";69294;3;0;1;25;41;15;184310;12;0.447052;0.952547132968903;0.810745775699615;0.00770416017621756;0.0338983051478863;33812;3.03999996185303;NA;NA;0.0643277689814568;1
"219701";97454;3;0;1;54;109;35;418180;3;0.310091;0.944000005722046;0.762738823890686;0.0177415478974581;0.0526315793395042;31581;3.28999996185303;NA;NA;0.0557468868792057;1
"219704";37332;3;0;1;88;60;20;98680;36;0.556498;0.964912295341492;0.634598433971405;0.0307147074490786;0.0526315793395042;26403;3;NA;NA;0.13886396586895;1
"219706";63101;3;0;1;10;34;5;300830;15;0.19577;0.942271888256073;0.894164562225342;0.0329698212444782;0.0129310349002481;49579;2.30999994277954;NA;NA;0.0702151283621788;1
