"","varname","metric","FullSample"
"1","junsep07","Mean Difference",-0.133260395749375
"2","junsep07","Standardized Mean Difference",-0.501716972526831
"3","junsep07","Mean Raw eQQ Difference",1.67384245682091
"4","junsep07","Variance Ratio (Treat/Comp.)",0.584434150809598
"5","junsep07","Kolmogrov-Smirnov Statistic",0.0258671551957306
"6","mayoct06","Mean Difference",-0.133260395749375
"7","mayoct06","Standardized Mean Difference",-0.133260395749375
"8","mayoct06","Mean Raw eQQ Difference",-0.133260395749375
"9","mayoct06","Variance Ratio (Treat/Comp.)",-0.133260395749375
"10","mayoct06","Kolmogrov-Smirnov Statistic",-0.133260395749375
"11","marapr07","Mean Difference",-0.133260395749375
"12","marapr07","Standardized Mean Difference",-0.133260395749375
"13","marapr07","Mean Raw eQQ Difference",-0.133260395749375
"14","marapr07","Variance Ratio (Treat/Comp.)",-0.133260395749375
"15","marapr07","Kolmogrov-Smirnov Statistic",-0.133260395749375
"16","fairmktvalue","Mean Difference",-0.133260395749375
"17","fairmktvalue","Standardized Mean Difference",-0.133260395749375
"18","fairmktvalue","Mean Raw eQQ Difference",-0.133260395749375
"19","fairmktvalue","Variance Ratio (Treat/Comp.)",-0.133260395749375
"20","fairmktvalue","Kolmogrov-Smirnov Statistic",-0.133260395749375
"21","ageofhome","Mean Difference",-0.133260395749375
"22","ageofhome","Standardized Mean Difference",-0.133260395749375
"23","ageofhome","Mean Raw eQQ Difference",-0.133260395749375
"24","ageofhome","Variance Ratio (Treat/Comp.)",-0.133260395749375
"25","ageofhome","Kolmogrov-Smirnov Statistic",-0.133260395749375
"26","acres","Mean Difference",-0.133260395749375
"27","acres","Standardized Mean Difference",-0.133260395749375
"28","acres","Mean Raw eQQ Difference",-0.133260395749375
"29","acres","Variance Ratio (Treat/Comp.)",-0.133260395749375
"30","acres","Kolmogrov-Smirnov Statistic",-0.133260395749375
"31","pct_edu","Mean Difference",-0.133260395749375
"32","pct_edu","Standardized Mean Difference",-0.133260395749375
"33","pct_edu","Mean Raw eQQ Difference",-0.133260395749375
"34","pct_edu","Variance Ratio (Treat/Comp.)",-0.133260395749375
"35","pct_edu","Kolmogrov-Smirnov Statistic",-0.133260395749375
"36","pct_pov","Mean Difference",-0.133260395749375
"37","pct_pov","Standardized Mean Difference",-0.133260395749375
"38","pct_pov","Mean Raw eQQ Difference",-0.133260395749375
"39","pct_pov","Variance Ratio (Treat/Comp.)",-0.133260395749375
"40","pct_pov","Kolmogrov-Smirnov Statistic",-0.133260395749375
"41","percapincome","Mean Difference",-0.133260395749375
"42","percapincome","Standardized Mean Difference",-0.133260395749375
"43","percapincome","Mean Raw eQQ Difference",-0.133260395749375
"44","percapincome","Variance Ratio (Treat/Comp.)",-0.133260395749375
"45","percapincome","Kolmogrov-Smirnov Statistic",-0.133260395749375
"46","pct_rent","Mean Difference",-0.133260395749375
"47","pct_rent","Standardized Mean Difference",-0.133260395749375
"48","pct_rent","Mean Raw eQQ Difference",-0.133260395749375
"49","pct_rent","Variance Ratio (Treat/Comp.)",-0.133260395749375
"50","pct_rent","Kolmogrov-Smirnov Statistic",-0.133260395749375
"51","pct_white","Mean Difference",-0.133260395749375
"52","pct_white","Standardized Mean Difference",-0.133260395749375
"53","pct_white","Mean Raw eQQ Difference",-0.133260395749375
"54","pct_white","Variance Ratio (Treat/Comp.)",-0.133260395749375
"55","pct_white","Kolmogrov-Smirnov Statistic",-0.133260395749375
